"","Timestamp","ID","Language","gender","age","country","leasehold","self_own","household","private_housing","living_with","living_with_family","household_size","edu","edu_r","bachelor_above","occupation_status","occupation_status_r","non_working","occupation","salary","high_income","marital","married","district","covid_living_building","covid_living_building_r","religion","Christian","christian_denomin","religion_scale_1","religion_scale_2","religion_scale_2_r_attend","religion_scale_3","religion_scale_3_r_pray","religion_scale_4","religion_scale_4_r_study","religion_scale_5","religion_scale_5_r_health_important","FACIT_meaning","FACIT_peace","FACIT_faith","FACIT_peace_meaning_total","FACIT_total","IES_intrusion","IES_avoidance","IES_hyperarousal","Brief_COPE_active_coping","Brief_COPE_planning","Brief_COPE_problem_solving","Brief_COPE_positive_reframing","Brief_COPE_acceptance","Brief_COPE_accommodation","Brief_COPE_humor","Brief_COPE_self_distraction","Brief_COPE_religion","Brief_COPE_emotional_support","Brief_COPE_instrumental_support","Brief_COPE_support_seeking","Brief_COPE_denial","Brief_COPE_behavioral_disengagement","Brief_COPE_substance_use","Brief_COPE_self_blame","Brief_COPE_venting","Brief_RCOPE_postive","Brief_RCOPE_negative","HADS_anxiety","HADS_depression","HADS_anxiety_group","HADS_anxiety_group_r","HADS_anxiety_group_r_normal","HADS_depression_group","HADS_depression_group_r","HADS_depression_group_r_normal","HADS_group_normal","HADS_group_normal_r","sdi","covid_case","Brief_COPE_avoid","Brief_COPE_restruct","Brief_COPE_distract","Brief_COPE_support","Brief_COPE_engage","Brief_COPE_disengage","religion_r","IES","religion_scale_2_r_attend_r","religion_scale_3_r_pray_r","religion_scale_4_r_study_r","religion_scale_4_r_study_r_each_day","religion_scale_4_r_study_r_almost_each_day"
"1",2020-09-09,1,"Chi","Female","45-64 years","Hong Kong","Self-owned","Yes","3. Private housing","Yes","3. Living with familiy","Yes",5,"5. Master  degree or higher","4. Master  degree or higher","Yes","1. Full time","1. Full time","No","2. Professional",NA,NA,"1. Married","Yes","Sai Kung","No","No","Christianity (Protestantism)","Yes","SDA",7,"1 time/week","3. 1 time/week","1 time or more/day","3. 1 time or more/day","1 time/week","3. 1 time/week","Very important",3,11,15,15,26,41,4,1,1,7,8,15,7,8,15,2,4,8,6,7,13,2,2,2,5,6,21,10,2,1,"normal","3. normal","Yes","normal","3. normal","Yes","3. Yes","Yes",0.180544476,6,11,17,10,21,20,9,"religion",6,"3. 1 time/week or more","3. 1 time or more/day","3. 1 time/week","2. less than 1 time/day","2. less than 4-6 time/week"
"2",2020-09-09,2,"Eng","Female","45-64 years","South America","Rent","No","3. Private housing","Yes","3. Living with familiy","Yes",4,"4. Bachelor degree","3. Bachelor degree","Yes","1. Full time","1. Full time","No","2. Professional","28,201-44,600","Yes","1. Married","Yes","Kowloon City","No","No","Christianity (Protestantism)","Yes","SDA",8,"2-3 times/week","4. 1 time more/week","4-6 times/week","2. less than 1 time/day","4-6 times/week","5. 4-6 times/week","Extremely important",4,11,14,14,25,39,4,8,3,4,2,6,3,6,9,2,5,6,2,2,4,2,2,2,2,2,24,8,3,3,"normal","3. normal","Yes","normal","3. normal","Yes","3. Yes","Yes",0.19336991,8,8,11,7,10,9,6,"religion",15,"3. 1 time/week or more","2. less than 1 time/day","5. 4-6 times/week","2. less than 1 time/day","3. 4-6 or more/week"
"3",2020-09-09,12,"Eng","Female","25-44 years","Hong Kong","Rent","No","1. Public housing","No","3. Living with familiy","Yes",5,"4. Bachelor degree","3. Bachelor degree","Yes","1. Full time","1. Full time","No","3. Office worker","13,101-18,200","No","5. Single","No","Wong Tai Sin","Yes","Yes","Christianity (Protestantism)","Yes","SDA",6,"1 time/week","3. 1 time/week","< 1 time/month","2. less than 1 time/day","< 1 time/month","2. less than 1/week","Extremely important",4,11,4,9,15,24,3,9,7,7,7,14,6,7,13,2,2,3,2,2,4,2,3,2,3,2,16,14,7,5,"normal","3. normal","Yes","normal","3. normal","Yes","3. Yes","Yes",0.199149335,8,10,15,4,7,15,8,"religion",19,"3. 1 time/week or more","2. less than 1 time/day","2. less than 1/week","2. less than 1 time/day","2. less than 4-6 time/week"
"4",2020-09-09,15,"Chi","Female","25-44 years","Hong Kong","Rent","No","1. Public housing","No","3. Living with familiy","Yes",4,"4. Bachelor degree","3. Bachelor degree","Yes","1. Full time","1. Full time","No","2. Professional","18,201-28,200","No","5. Single","No","Wong Tai Sin","No","No","Christianity (Protestantism)","Yes","SDA",9,"2-3 times/week","4. 1 time more/week","1 time or more/day","3. 1 time or more/day","1 time or more/day","6. 1 time or more/day","Very important",3,11,13,12,24,36,3,4,2,7,7,14,6,8,14,2,3,8,6,6,12,2,3,2,4,6,19,9,4,1,"normal","3. normal","Yes","normal","3. normal","Yes","3. Yes","Yes",0.199149335,8,11,16,9,20,19,9,"religion",9,"3. 1 time/week or more","3. 1 time or more/day","6. 1 time or more/day","3. 1 time or more/day","3. 4-6 or more/week"
"5",2020-09-09,19,"Eng","Female","45-64 years","Hong Kong","Rent","No","3. Private housing","Yes","3. Living with familiy","Yes",3,"4. Bachelor degree","3. Bachelor degree","Yes","3. Part time","2. Non-full-time","No","2. Professional","80,000 or above","Yes","1. Married","Yes","Sha Tin","No","No","Christianity (Protestantism)","Yes","SDA",7,"1 time/week","3. 1 time/week","2-3 times/week","2. less than 1 time/day","2-3 times/month","2. less than 1/week","Very important",3,11,14,12,25,37,7,2,2,5,5,10,5,6,11,5,4,4,6,5,11,2,2,2,2,3,13,8,7,8,"normal","3. normal","Yes","borderline abnormal","2. borderline abnormal","No","2. either","No",0.18510991,5,8,16,7,15,16,6,"religion",11,"3. 1 time/week or more","2. less than 1 time/day","2. less than 1/week","2. less than 1 time/day","2. less than 4-6 time/week"
"6",2020-09-09,20,"Chi","Male","18-24 years","Hong Kong","Rent","No","1. Public housing","No","3. Living with familiy","Yes",3,"4. Bachelor degree","3. Bachelor degree","Yes","6. Student","3. Not-working people","Yes","8. Not applicable","18,201-28,200","No","5. Single","No","Kwun Tong","Yes","Yes","Christianity (Protestantism)","Yes","SDA",10,"2-3 times/week","4. 1 time more/week","1 time or more/day","3. 1 time or more/day","1 time or more/day","6. 1 time or more/day","Extremely important",4,12,16,16,28,44,13,17,8,3,4,7,2,6,8,5,4,6,3,4,7,3,3,2,4,5,28,10,0,3,"normal","3. normal","Yes","normal","3. normal","Yes","3. Yes","Yes",0.196775858,18,12,13,9,13,8,10,"religion",38,"3. 1 time/week or more","3. 1 time or more/day","6. 1 time or more/day","3. 1 time or more/day","3. 4-6 or more/week"
"7",2020-09-09,22,"Chi","Female","45-64 years","Hong Kong","Self-owned","Yes","3. Private housing","Yes","2. Living with friend (s)","No",4,"3. Post secondary Diploma/Certificate Program","2. Post secondary Diploma/Certificate Program","No","3. Part time","2. Non-full-time","No","3. Office worker","13,101-18,200","No","1. Married","Yes","Sham Shui Po","No","No","Christianity (Protestantism)","Yes","SDA",8,"1 time/week","3. 1 time/week","1 time or more/day","3. 1 time or more/day","4-6 times/week","5. 4-6 times/week","Extremely important",4,9,14,14,23,37,5,2,3,7,8,15,8,8,16,2,2,8,4,6,10,2,2,2,4,5,27,8,2,0,"normal","3. normal","Yes","normal","3. normal","Yes","3. Yes","Yes",0.204715924,5,10,18,7,18,19,8,"religion",10,"3. 1 time/week or more","3. 1 time or more/day","5. 4-6 times/week","2. less than 1 time/day","3. 4-6 or more/week"
"8",2020-09-09,24,"Chi","Female","25-44 years","Hong Kong","Rent","No","1. Public housing","No","3. Living with familiy","Yes",3,"4. Bachelor degree","3. Bachelor degree","Yes","1. Full time","1. Full time","No","3. Office worker","13,101-18,200","No","5. Single","No","Sha Tin","No","No","Christianity (Protestantism)","Yes","SDA",8,"1 time/week","3. 1 time/week","1 time or more/day","3. 1 time or more/day","1 time/month","2. less than 1/week","Extremely important",4,11,13,13,24,37,7,4,3,7,7,14,6,8,14,3,5,7,5,7,12,2,2,2,3,4,23,8,1,0,"normal","3. normal","Yes","normal","3. normal","Yes","3. Yes","Yes",0.18510991,5,9,17,9,19,18,7,"religion",14,"3. 1 time/week or more","3. 1 time or more/day","2. less than 1/week","2. less than 1 time/day","2. less than 4-6 time/week"
"9",2020-09-09,26,"Eng","Male","25-44 years","North America/ Europe/ Australia","Rent","No","3. Private housing","Yes","3. Living with familiy","Yes",5,"4. Bachelor degree","3. Bachelor degree","Yes","1. Full time","1. Full time","No","2. Professional","28,201-44,600","Yes","1. Married","Yes","Sai Kung","No","No","Christianity (Protestantism)","Yes","SDA",10,"1 time/week","3. 1 time/week","4-6 times/week","2. less than 1 time/day","4-6 times/week","5. 4-6 times/week","Extremely important",4,7,7,12,14,26,1,4,5,4,4,8,3,8,11,7,2,7,2,2,4,2,3,2,5,4,15,11,4,7,"normal","3. normal","Yes","normal","3. normal","Yes","3. Yes","Yes",0.180544476,6,12,18,6,11,9,10,"religion",10,"3. 1 time/week or more","2. less than 1 time/day","5. 4-6 times/week","2. less than 1 time/day","3. 4-6 or more/week"
"10",2020-09-09,28,"Eng","Female","25-44 years","Hong Kong","Rent","No","3. Private housing","Yes","2. Living with friend (s)","No",2,"4. Bachelor degree","3. Bachelor degree","Yes","1. Full time","1. Full time","No","3. Office worker","13,101-18,200","No","5. Single","No","Sha Tin","No","No","Christianity (Protestantism)","Yes","SDA",6,"2-3 times/week","4. 1 time more/week","1 time or more/day","3. 1 time or more/day","1 time/week","3. 1 time/week","Very important",3,9,10,9,19,28,11,5,8,5,7,12,8,8,16,5,4,7,6,3,9,2,4,2,2,5,22,15,9,5,"borderline abnormal","2. borderline abnormal","No","normal","3. normal","Yes","2. either","No",0.18510991,5,10,21,9,16,19,8,"religion",24,"3. 1 time/week or more","3. 1 time or more/day","3. 1 time/week","2. less than 1 time/day","2. less than 4-6 time/week"
